並び順,ID,表示名,コピー本文
1,registration-required,⓪登録必要事項,"ライバー登録に必要な情報

• 生年月日.
• 名前（本名・漢字フルネーム）.
• ライバー名.
※回答後の変更も可能。

• 配信スタイル（顔出しorラジオ）.
• 予定している配信頻度（毎日・週4~5日・週2~3日・週1以下）.
• デビュー予定日.
※登録に必要となりますので仮でもご設定ください。

• palmuプロフィールURL.
• 顔の見える写真.
追加情報

• X,Instagram,tiktok,その他SNS.
• 配信経験の有無とアプリ.
• 思い入れのある配信アプリ.
• Ban経験.
• Palmuの配信経験.
• ライバー事務所への所属経験と事務所名.
• お住まいのと都道府県"
2,open-chat,オープンチャット,"こちらLiveNova公式のLINEオープンチャットになります！
参加後に承認しますので参加しましたらお声掛けください！！

　事務所の連絡用になりますので　個人の発言は禁止になってます

https://line.me/ti/g2/ZBoGR_Z-b2azIPhNKTKOcf2JGOG7FHFqse0r4w?utm_source=invitation&utm_medium=link_copy&utm_campaign=default
［LiveNova］
LINE OPENCHAT"
3,icon-frame,"① 事務所アイコンフレーム","①【事務所アイコンフレーム】

アイコンのフレームをつけることで
LiveNovaのライバーさんや
リスナーさんが来てくださることも
増えるのでつけてみよう！

マネージャーにアイコンにしたい
画像・写真の送付をしてください！

https://drive.google.com/file/d/1jN5q7mG8N4eT0sec3JvN9yfGslw0294h/view?usp=sharing"
4,profile-sample,"② プロフィール文サンプル","② 【プロフィール文サンプル】

リスナーは入室後、
まずライバーのプロフを見ます！
素敵なプロフで飾りましょう！

〇/〇 〇〇:〇〇～初配信予定
（いい感じの一言をいれてください）
🟧LiveNova所属⬛

━━━━━━━━━━━━━━━━━━━━
【趣味】

コーヒーめちゃ好きです。
豆引いてハンドリしてます。
でゅろんぎ欲しいです。

ポケモンをこよなく愛してます。
メーカーズマークってうぃすきーがすきです。

━━━━━━━━━━━━━━━
【配信】
ラジオ配信します！

おすすめの居酒屋とかを
みんなから聞いたり紹介したり

あとその日あったことを
話せれたら！

━━━━━━━━━━━━━━━
【目標】
～〇/〇（配信30日目）までにB1達成

～〇/〇（配信7日目） までにC2達成

━━━━━━━━━━━━━━━
【その他】
バッチ特典：
キラコメ：
推しマ：

━━━━━━━━━━━━━━━
【最後に...】
アニョハセヨパルム〜

━━━━━━━━━━━━━━━"
5,follow-rounds,"③ 枠周り","③【枠周り】

ギフトを投げられたり
定着率の高いライバーは何が違うのか
リスナーの体験をして学びましょう！

目標：フォロワー30人

► 仲のいいライバーを2～3人作ろう
► 楽しかった枠、参考になった枠を
　マネージャーに一つ理由を添えてシェアしよう！"
6,follow-rounds-pic,④配信用Xの作成または連携をしよう！,picture
7,office-materials,⑤事務所資料の確認,"⑤【Palmu攻略マニュアル】

https://canva.link/zqzmu6q4usc8fao
を一読しよう！"
8,training-date,⑥講習会の日程設定,"⑥【新人ライバー講習会】

デビューして7日間、30日間が
最も大事な期間です！
スタートダッシュを決めるためには
何をしたらいいか講習会で学ぼう！

『毎週水曜18時から開催』 参加が厳しい場合はマネージャーにお伝えください。

参加フォーム
https://docs.google.com/forms/d/e/1FAIpQLSfo1SdE85hS_gc0rTIhreuSyQKhRXO9X7I-KLHPmK1YaPiC_Q/viewform

使用する資料
https://www.canva.com/design/DAHMEQm9q-o/Live6oubTqCr_Zja-X5aSw/view?utm_content=DAHMEQm9q-o&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hd2af9c3282"
9,debut-liver-intro-hp,⑦デビューライバー紹介HP,"⑦【デビューライバー紹介HP】

新人同期HPに掲載されているライバーと、まずは3人以上交流してみましょう！
自分と近い時期にデビューしたライバーを確認できるので、枠周りや交流を始めるきっかけになります。
活動を始めたばかりの時期は、一人で頑張るよりも、同期やデビュー時期の近い仲間と一緒に頑張ることで、活動を継続しやすくなり、お互いの成長にもつながります。

https://script.google.com/macros/s/AKfycbzZyjCkxNbr4izWqiR-HL-W4Xm8d-j1midE0smymz10dfTRLVK18xVlI7bpRUeSO67PJg/exec"
10,first-week-schedule,⑧今後のスケジュール,"⑧【今後のスケジュール】

〇／〇 新人講習会
〇／〇 デビュー前面談
〇／〇 初配信日"
